ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12012495,JD189610,03/18/2020 03:00:00 PM,043XX S DEARBORN ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,true,0215,002,3,38,08A,1176691,1876355,2020,03/25/2020 03:47:29 PM,41.816065211,-87.627373649,"(41.816065211, -87.627373649)"
12012836,JD189905,03/18/2020 05:45:00 PM,001XX S PEORIA ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1232,012,27,28,26,1170434,1899628,2020,03/25/2020 03:47:29 PM,41.880067081,-87.649645866,"(41.880067081, -87.649645866)"
12013906,JD191184,03/14/2020 06:00:00 PM,058XX N PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1711,017,39,13,14,1148682,1938093,2020,03/25/2020 03:45:43 PM,41.986066128,-87.728520584,"(41.986066128, -87.728520584)"
12014042,JD191374,03/18/2020 06:00:00 PM,001XX N SANGAMON ST,0820,THEFT,$500 AND UNDER,GOVERNMENT BUILDING / PROPERTY,false,false,1224,012,27,28,06,1170077,1900946,2020,03/25/2020 03:47:29 PM,41.883691561,-87.650918236,"(41.883691561, -87.650918236)"
12013624,JD190625,03/18/2020 07:00:00 PM,035XX W 23RD ST,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,1024,010,22,30,06,1152938,1888487,2020,03/25/2020 03:47:29 PM,41.84985942,-87.714184268,"(41.84985942, -87.714184268)"
12014951,JD192350,03/10/2020 01:00:00 AM,030XX W GUNNISON ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1713,017,33,14,06,1155151,1932064,2020,03/25/2020 03:45:43 PM,41.96939441,-87.704890387,"(41.96939441, -87.704890387)"
12013407,JD189939,03/18/2020 09:16:00 PM,010XX W 103RD PL,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,false,false,2232,022,34,73,04B,1171231,1836185,2020,03/25/2020 03:47:29 PM,41.705955008,-87.648574923,"(41.705955008, -87.648574923)"
12012136,JD189140,03/18/2020 12:53:00 AM,068XX S CALUMET AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,false,true,0322,003,20,69,04B,1179660,1859702,2020,03/25/2020 03:47:29 PM,41.770300389,-87.616991853,"(41.770300389, -87.616991853)"
12012542,JD189627,03/18/2020 03:00:00 AM,003XX S PEORIA ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1232,012,25,28,07,1170463,1898693,2020,03/25/2020 03:47:29 PM,41.877500741,-87.649566735,"(41.877500741, -87.649566735)"
12015066,JD192437,03/16/2020 02:26:00 PM,054XX S LUNA AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,false,false,0814,008,23,56,11,1140289,1867909,2020,03/25/2020 03:45:43 PM,41.793631047,-87.761111565,"(41.793631047, -87.761111565)"
12012749,JD189876,03/18/2020 06:47:00 PM,089XX S COMMERCIAL AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,true,false,0423,004,10,46,24,1197694,1846338,2020,03/25/2020 03:47:29 PM,41.733197431,-87.551333049,"(41.733197431, -87.551333049)"
12012469,JD189406,03/18/2020 11:00:00 AM,070XX S SOUTH SHORE DR,0460,BATTERY,SIMPLE,APARTMENT,false,true,0331,003,5,43,08B,1193442,1858927,2020,03/25/2020 03:47:29 PM,41.767847633,-87.566498814,"(41.767847633, -87.566498814)"
12012120,JD189174,03/18/2020 02:25:00 AM,053XX N KEDZIE AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,false,false,1712,017,39,13,04B,1154078,1935351,2020,03/25/2020 03:47:29 PM,41.978435656,-87.708747712,"(41.978435656, -87.708747712)"
12012180,JD189219,03/18/2020 04:30:00 AM,075XX S BISHOP ST,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,STREET,false,true,0612,006,17,71,04B,1167854,1854805,2020,03/25/2020 03:47:29 PM,41.757124058,-87.660408198,"(41.757124058, -87.660408198)"
12014718,JD188853,03/17/2020 10:00:00 AM,060XX W BLOOMINGDALE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2513,025,29,25,07,1135889,1911341,2020,03/25/2020 03:45:43 PM,41.912894159,-87.776213057,"(41.912894159, -87.776213057)"
12013355,JD190469,03/18/2020 03:30:00 PM,051XX W NORTH AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,SMALL RETAIL STORE,false,false,2533,025,37,25,11,1141609,1910145,2020,03/25/2020 03:47:29 PM,41.909508323,-87.755228459,"(41.909508323, -87.755228459)"
12012586,JD189759,03/18/2020 08:50:00 AM,018XX N KEELER AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,2534,025,35,20,08A,1148096,1911952,2020,03/25/2020 03:47:29 PM,41.914344461,-87.731351198,"(41.914344461, -87.731351198)"
12012574,JD189778,03/18/2020 12:00:00 PM,005XX N STATE ST,0890,THEFT,FROM BUILDING,CONVENIENCE STORE,false,false,1831,018,42,8,06,1176272,1904046,2020,03/25/2020 03:47:29 PM,41.892060695,-87.628076329,"(41.892060695, -87.628076329)"
12012101,JD189199,03/18/2020 01:57:00 AM,039XX W OGDEN AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,SIDEWALK,true,false,1013,010,22,29,24,1150286,1889027,2020,03/25/2020 03:47:29 PM,41.851393305,-87.723903515,"(41.851393305, -87.723903515)"
12013515,JD190128,03/18/2020 01:00:00 AM,005XX W DIVERSEY PKWY,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1934,019,44,6,06,1172194,1918876,2020,03/25/2020 03:47:29 PM,41.932845968,-87.642614305,"(41.932845968, -87.642614305)"
12014221,JD191601,03/12/2020 06:45:00 PM,078XX S AVALON AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,0411,004,8,45,08B,1185909,1853176,2020,03/25/2020 03:45:43 PM,41.752247325,-87.594291355,"(41.752247325, -87.594291355)"
12015730,JD185065,03/13/2020 05:00:00 AM,026XX W THOMAS ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1211,012,1,24,08B,1158673,1907218,2020,03/25/2020 03:45:43 PM,41.901143692,-87.692622714,"(41.901143692, -87.692622714)"
12012785,JD189924,03/18/2020 09:05:00 PM,0000X W 79TH ST,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CTA PLATFORM,true,false,0623,006,6,44,04A,1177483,1852629,2020,03/25/2020 03:47:29 PM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
12015665,JD191149,03/11/2020 11:45:00 PM,019XX N HONORE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1434,014,32,22,14,1163714,1912892,2020,03/25/2020 03:45:43 PM,41.916608741,-87.673946487,"(41.916608741, -87.673946487)"
12013087,JD190277,03/18/2020 09:00:00 PM,043XX S LANGLEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,false,false,0221,002,4,38,07,1181651,1876448,2020,03/25/2020 03:47:29 PM,41.81620715,-87.609176659,"(41.81620715, -87.609176659)"
12013588,JD190795,03/12/2020 09:00:00 AM,030XX E 93RD ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,false,false,0424,004,10,46,08B,1198264,1843881,2020,03/25/2020 03:45:43 PM,41.726440995,-87.549326899,"(41.726440995, -87.549326899)"
12012842,JD189986,03/18/2020 10:22:00 PM,076XX N PAULINA ST,2019,NARCOTICS,MANUFACTURE / DELIVER - HEROIN (BLACK TAR),STREET,true,false,2422,024,49,1,18,1163657,1950523,2020,03/25/2020 03:47:29 PM,42.019870961,-87.673090474,"(42.019870961, -87.673090474)"
12012626,JD189807,03/18/2020 05:36:00 PM,007XX W 42ND ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,PARK PROPERTY,true,false,0925,009,11,61,18,1172229,1876875,2020,03/25/2020 03:47:29 PM,41.817591567,-87.643725796,"(41.817591567, -87.643725796)"
12012882,JD189992,03/18/2020 10:30:00 PM,099XX S COMMERCIAL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0431,004,10,51,08B,1197855,1839687,2020,03/25/2020 03:47:29 PM,41.714942512,-87.550964686,"(41.714942512, -87.550964686)"
12012385,JD189467,03/18/2020 12:40:00 PM,061XX N BROADWAY,0860,THEFT,RETAIL THEFT,DRUG STORE,false,false,2433,024,48,77,06,1167193,1940774,2020,03/25/2020 03:47:29 PM,41.993043969,-87.660360363,"(41.993043969, -87.660360363)"
